admissionNumber,name,fatherName,motherName,dateOfBirth,admissionDate,aadharNumber,penNumber,aaparId,mobileNumber,address,class,section,yearlyFeeAmount
20240001,Aarav Sharma,Rajesh Sharma,Priya Sharma,Sat May 15 2010 00:00:00 GMT+0000 (Coordinated Universal Time),Sat Jun 01 2024 00:00:00 GMT+0000 (Coordinated Universal Time),123456789012,,,919876543210,"""14/5",10,A,50000.00
20240002,Aditi Singh,Sanjay Singh,Kavita Singh,Sun Nov 20 2011 00:00:00 GMT+0000 (Coordinated Universal Time),Sat Jun 01 2024 00:00:00 GMT+0000 (Coordinated Universal Time),234567890123,,,919876543211,"""B-3",9,B,45000.00
20240003,Aryan Gupta,Alok Gupta,Nisha Gupta,Sun Jan 01 2012 00:00:00 GMT+0000 (Coordinated Universal Time),Sun Jun 02 2024 00:00:00 GMT+0000 (Coordinated Universal Time),345678901234,,,919876543212,"""45",8,C,40000.00
20240004,Diya Verma,Vikas Verma,Ritu Verma,Tue Sep 10 2013 00:00:00 GMT+0000 (Coordinated Universal Time),Sun Jun 02 2024 00:00:00 GMT+0000 (Coordinated Universal Time),456789012345,,,919876543213,"""Plot 12",7,A,38000.00
20240005,Kabir Reddy,Ravi Reddy,Lakshmi Reddy,Tue Mar 25 2014 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Jun 03 2024 00:00:00 GMT+0000 (Coordinated Universal Time),567890123456,,,919876543214,"""H No 78",6,B,35000.00
20240006,Ishita Patel,Girish Patel,Deepa Patel,Sat Jul 18 2015 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Jun 03 2024 00:00:00 GMT+0000 (Coordinated Universal Time),678901234567,,,919876543215,"""C-20",5,C,32000.00
20240007,Rohan Joshi,Mahesh Joshi,Sunita Joshi,Sun Feb 28 2016 00:00:00 GMT+0000 (Coordinated Universal Time),Tue Jun 04 2024 00:00:00 GMT+0000 (Coordinated Universal Time),789012345678,,,919876543216,"""5A",4,A,30000.00
20240008,Sana Khan,Imran Khan,Farah Khan,Thu Oct 05 2017 00:00:00 GMT+0000 (Coordinated Universal Time),Tue Jun 04 2024 00:00:00 GMT+0000 (Coordinated Universal Time),890123456789,,,919876543217,"""101",3,B,28000.00
20240009,Veer Yadav,Anil Yadav,Poonam Yadav,Thu Apr 12 2018 00:00:00 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 00:00:00 GMT+0000 (Coordinated Universal Time),901234567890,,,919876543218,"""Flat 9",2,C,26000.00
20240010,Myra Menon,Deepak Menon,Shalini Menon,Fri Aug 30 2019 00:00:00 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 00:00:00 GMT+0000 (Coordinated Universal Time),12345678901,,,919876543219,"""No 6",1,A,24000.00
